Date,Time,Unbilled Data Usage in Kilobytes(KB),Unbilled Data Usage in Megabytes(MB),Unbilled Data Usage in Gigabytes(GB)
2/24/15,4:08 PM,20638.2,20.15,0.019682113
2/24/15,10:18 AM,31507.7,30.77,0.030048038
2/24/15,10:08 AM,18941.6,18.5,0.018064103
2/24/15,10:04 AM,432.7,0.42,0.000412676
2/24/15,8:51 AM,51429.7,50.22,0.049047189
2/24/15,8:49 AM,1814.4,1.77,0.00173032
2/24/15,8:24 AM,28360.4,27.7,0.027046562
2/24/15,8:22 AM,36,0.04,0.000034287
2/24/15,8:07 AM,7053.1,6.89,0.006726325
2/24/15,3:54 AM,54829.2,53.54,0.052289195
2/24/15,3:30 AM,1275.6,1.25,0.001216503
2/24/15,1:35 AM,684.8,0.67,0.000653079
2/24/15,1:32 AM,82,0.08,0.000078184
2/24/15,1:29 AM,561.9,0.55,0.000535858
2/23/15,11:21 PM,13862.6,13.54,0.013220403
2/23/15,11:21 PM,144.7,0.14,0.000138025
2/23/15,10:39 PM,34530.4,33.72,0.032930748
2/23/15,10:38 PM,142.4,0.14,0.000135842
2/23/15,8:26 PM,747.8,0.73,0.000713188
2/23/15,7:28 PM,44565.1,43.52,0.042500606
2/23/15,7:24 PM,1843.2,1.8,0.001757834
2/23/15,6:44 PM,25417.4,24.82,0.02423994
2/20/15,3:45 PM,3368.6,3.29,0.003212534
2/20/15,3:42 PM,1610.1,1.57,0.001535529
2/20/15,3:17 PM,2990.5,2.92,0.002851939
2/20/15,3:15 PM,390.7,0.38,0.000372616
2/20/15,2:34 PM,4116.7,4.02,0.003926016
2/20/15,2:26 PM,573.2,0.56,0.000546694
2/20/15,2:09 PM,4073.3,3.98,0.003884616
2/20/15,2:04 PM,2418.7,2.36,0.002306688
2/20/15,1:59 PM,4010.1,3.92,0.003824363
2/20/15,1:31 PM,1371.9,1.34,0.001308302
2/20/15,1:30 PM,148.2,0.14,0.000141333
2/20/15,1:27 PM,245.7,0.24,0.000234338
2/20/15,1:24 PM,346.7,0.34,0.000330679
2/20/15,12:43 PM,315.7,0.31,0.000301081
2/20/15,12:43 PM,271.6,0.27,0.000258978
2/20/15,12:35 AM,196.3,0.19,0.000187219
2/20/15,12:11 AM,661.6,0.65,0.000630905
2/20/15,12:08 AM,291.3,0.28,0.000277812
2/20/15,12:06 AM,212.6,0.21,0.000202725
2/20/15,12:04 AM,338.1,0.33,0.00032244
2/19/15,11:16 PM,0.2,0,0.000000224
2/19/15,11:15 PM,91.4,0.09,0.000087133
2/19/15,11:09 PM,462.3,0.45,0.000440914
2/19/15,8:03 PM,1971.4,1.93,0.00188007
2/19/15,8:01 PM,49.3,0.05,0.000046982
2/19/15,6:20 PM,9793.3,9.56,0.009339661
2/19/15,2:40 PM,11830.1,11.55,0.011282023
2/19/15,2:28 PM,1504.4,1.47,0.001434695
2/19/15,8:53 AM,20259.4,19.78,0.019320852
2/18/15,10:57 PM,1028.7,1,0.000981059
2/18/15,10:54 PM,814.1,0.8,0.000776376
2/18/15,10:06 PM,18765.8,18.33,0.01789646
2/18/15,10:04 PM,10.8,0.01,0.000010321
2/18/15,10:01 PM,34.5,0.03,0.000032881
2/18/15,9:47 PM,838.6,0.82,0.000799744
2/18/15,9:33 PM,669.9,0.65,0.000638865
2/18/15,9:30 PM,4.6,0,0.000004362
2/18/15,9:27 PM,3.9,0,0.000003731
2/18/15,7:09 PM,2301.4,2.25,0.002194782
2/20/15,7:00 PM,2570.8,2.51,0.002451668
2/20/15,4:19 PM,2200.6,2.15,0.002098694
